week,date,ask,bid
Week 1,9/1/2000,14119.71429,14123.71429
Week 2,9/8/2000,14134.85714,14137.14286
Week 3,9/15/2000,14153.14286,14156.28571
Week 4,9/22/2000,14186.14286,14189.85714
Week 1,9/29/2000,14217.85714,14221.85714
Week 2,10/6/2000,14258.71429,14262.71429
Week 3,10/13/2000,14301,14312.14286
Week 4,10/20/2000,14335,14388.57143
Week 1,10/27/2000,14364.28571,14418.28571
Week 2,11/3/2000,14404.14286,14458.14286
Week 3,11/10/2000,14437.71429,14491.71429
Week 4,11/17/2000,14463.42857,14517.42857
Week 1,11/24/2000,14481.14286,14528
Week 2,12/1/2000,14499.71429,14553.71429
Week 3,12/8/2000,14508.85714,14562.85714
Week 4,12/15/2000,14508.42857,14562.42857
Week 1,12/22/2000,14508.85714,14555.42857
Week 2,12/29/2000,14513.42857,14567.42857
Week 3,1/5/2001,14521,14575
Week 4,1/12/2001,14525.71429,14579.71429
Week 1,1/19/2001,14540.71429,14594.71429
Week 2,1/26/2001,14542.28571,14596.28571
Week 3,2/2/2001,14543.57143,14597.57143
Week 4,2/9/2001,14550.57143,14604.57143
Week 1,2/16/2001,14557.28571,14603.57143
Week 2,2/23/2001,14564,14618
Week 3,3/2/2001,14557.14286,14611.14286
Week 4,3/9/2001,14552.42857,14606.42857
Week 1,3/16/2001,14546.71429,14600.71429
Week 2,3/23/2001,14544,14598
Week 3,3/30/2001,14541.85714,14595.85714
Week 4,4/6/2001,14547.71429,14601.71429
Week 1,4/13/2001,14555.28571,14580.71429
Week 2,4/20/2001,14559.57143,14613.57143
Week 3,4/27/2001,14564,14618
Week 4,5/4/2001,14570,14624
Week 1,5/11/2001,14588.28571,14642.28571
Week 2,5/18/2001,14607.28571,14661.28571
Week 3,5/25/2001,14630.28571,14677.28571
Week 4,6/1/2001,14676.42857,14730.42857
Week 1,6/8/2001,14725.57143,14779.28571
Week 2,6/15/2001,14779.42857,14833.14286
Week 3,6/22/2001,14821.71429,14875.71429
Week 4,6/29/2001,14847.14286,14893.57143
Week 1,7/6/2001,14866,14920
Week 2,7/13/2001,14892.14286,14946.14286
Week 3,7/20/2001,14911.28571,14965.28571
Week 4,7/27/2001,14935.28571,14989.28571
Week 1,8/3/2001,14955.85714,15009.85714
Week 2,8/10/2001,14975.28571,15029.28571
Week 3,8/17/2001,14985.71429,15039.85714
Week 4,8/24/2001,14984.42857,15038.42857
Week 1,8/31/2001,14992,15046
Week 2,9/7/2001,14999.85714,15052.71429
Week 3,9/14/2001,14902.28571,15103.71429
Week 4,9/21/2001,14309.42857,15677.14286
Week 1,9/28/2001,14315.42857,15690.71429
Week 2,10/5/2001,14334.71429,15708.28571
Week 3,10/12/2001,14330.85714,15722.71429
Week 4,10/19/2001,14332,15736
Week 1,10/26/2001,14341.85714,15746.71429
Week 2,11/2/2001,14341.85714,15735.14286
Week 3,11/9/2001,14383.14286,15800.14286
Week 4,11/16/2001,14440.14286,15662.85714
Week 1,11/23/2001,14341.14286,15773.28571
Week 2,11/30/2001,14363.57143,15778.57143
Week 3,12/7/2001,14369.28571,15784.57143
Week 4,12/14/2001,14380,15778.14286
Week 1,12/21/2001,14361.71429,15770.14286
Week 2,12/28/2001,14351.71429,15773.28571
Week 3,1/4/2002,14380.14286,15788.14286
Week 4,1/11/2002,14388.85714,15803.42857
Week 1,1/18/2002,14391.42857,15819
Week 2,1/25/2002,14387.71429,15843.71429
Week 3,2/1/2002,14385.85714,15844
Week 4,2/8/2002,14404.14286,15852
Week 1,2/15/2002,14395.14286,15841.71429
Week 2,2/22/2002,14407.57143,15855.71429
Week 3,3/1/2002,14412.57143,15865.14286
Week 4,3/8/2002,14432.14286,15869.71429
Week 1,3/15/2002,14449.14286,15877.85714
Week 2,3/22/2002,14462.85714,15897.42857
Week 3,3/29/2002,14467.42857,15909
Week 4,4/5/2002,14491.14286,15925.42857
Week 1,4/12/2002,14502.57143,15933.85714
Week 2,4/19/2002,14505.42857,15921.71429
Week 3,4/26/2002,14519.57143,15920.57143
Week 4,5/3/2002,14532.28571,15918.85714
Week 1,5/10/2002,14549.14286,15933.14286
Week 2,5/17/2002,14551.85714,15926.57143
Week 3,5/24/2002,14571.14286,15938.42857
Week 4,5/31/2002,14581.71429,15924.71429
Week 1,6/7/2002,14596,15931.28571
Week 2,6/14/2002,14598.14286,15927.42857
Week 3,6/21/2002,14618.28571,15916.28571
Week 4,6/28/2002,14648.57143,15921.42857
Week 1,7/5/2002,14641.28571,15926.28571
Week 2,7/12/2002,14665,15931.42857
Week 3,7/19/2002,14675.28571,15928
Week 4,7/26/2002,14667.42857,15944.71429
Week 1,8/2/2002,14680.71429,15962.28571
Week 2,8/9/2002,14677.42857,15970.28571
Week 3,8/16/2002,14681.85714,15968.42857
Week 4,8/23/2002,14679,15973.42857
Week 1,8/30/2002,14706.57143,15984.71429
Week 2,9/6/2002,14693,15969.85714
Week 3,9/13/2002,14692,15984.28571
Week 4,9/20/2002,14702.85714,15989
Week 1,9/27/2002,14699.28571,15983.14286
Week 2,10/4/2002,14702.57143,15982.28571
Week 3,10/11/2002,14719.28571,15997.42857
Week 4,10/18/2002,14705.57143,15998.85714
Week 1,10/25/2002,14727.57143,16016
Week 2,11/1/2002,14732.42857,15999.57143
Week 3,11/8/2002,14744.71429,15992.14286
Week 4,11/15/2002,14750.14286,16003.57143
Week 1,11/22/2002,14753.42857,16016.28571
Week 2,11/29/2002,14753.14286,16021.28571
Week 3,12/6/2002,14767.28571,16021.57143
Week 4,12/13/2002,14776.57143,16007.71429
Week 1,12/20/2002,14780.71429,16006.71429
Week 2,12/27/2002,14781.28571,15994.14286
Week 3,1/3/2003,14792,16001.57143
Week 4,1/10/2003,14816.28571,16013
Week 1,1/17/2003,14831.14286,16015
Week 2,1/24/2003,14847.14286,16013.28571
Week 3,1/31/2003,14847.57143,16013
Week 4,2/7/2003,14847.42857,16017.28571
Week 1,2/14/2003,14847.57143,16018.85714
Week 2,2/21/2003,14849.71429,16015.85714
Week 3,2/28/2003,14850.42857,16011.85714
Week 4,3/7/2003,14861.42857,16005
Week 1,3/14/2003,14855.14286,16029.14286
Week 2,3/21/2003,14857.71429,16044.85714
Week 3,3/28/2003,14872,16040
Week 4,4/4/2003,14864,16040.28571
Week 1,4/11/2003,14873.71429,16045
Week 2,4/18/2003,14885.14286,16038.71429
Week 3,4/25/2003,14901.28571,16045.85714
Week 4,5/2/2003,14911.71429,16032.28571
Week 1,5/9/2003,14928,16026
Week 2,5/16/2003,14924.28571,16016
Week 3,5/23/2003,14932.85714,16001.28571
Week 4,5/30/2003,14942.71429,16014.14286
Week 1,6/6/2003,14940.28571,16010
Week 2,6/13/2003,14950.14286,16019.71429
Week 3,6/20/2003,14948.42857,16033.57143
Week 4,6/27/2003,14945.57143,16044.71429
Week 1,7/4/2003,14949.14286,16053.71429
Week 2,7/11/2003,14947.28571,16062.57143
Week 3,7/18/2003,14952.71429,16071
Week 4,7/25/2003,14964.71429,16063
Week 1,8/1/2003,14958.57143,16077.28571
Week 2,8/8/2003,14960.85714,16074.28571
Week 3,8/15/2003,14956.28571,16080.71429
Week 4,8/22/2003,14931.42857,16086.85714
Week 1,8/29/2003,14940.71429,16098.71429
Week 2,9/5/2003,14955.85714,16101.14286
Week 3,9/12/2003,14967.14286,16092.42857
Week 4,9/19/2003,14990.85714,16099.57143
Week 1,9/26/2003,15003.42857,16096.57143
Week 2,10/3/2003,15020.57143,16097.71429
Week 3,10/10/2003,15033.28571,16106.28571
Week 4,10/17/2003,15009,16092.85714
Week 1,10/24/2003,15054.28571,16126.57143
Week 2,10/31/2003,15096.14286,16183.28571
Week 3,11/7/2003,15088.28571,16185.85714
