week,date,ask,bid
Week 4,11/14/2003,15104.28571,16173.14286
Week 1,11/21/2003,15104,16166.85714
Week 2,11/28/2003,15096.28571,16146.28571
Week 3,12/5/2003,15094.42857,16132.57143
Week 4,12/12/2003,15127.28571,16155.85714
Week 1,12/19/2003,15147.14286,16162
Week 2,12/26/2003,15150.85714,16163.71429
Week 3,1/2/2004,15065.57143,16061.42857
Week 4,1/9/2004,15162.85714,16152.71429
Week 1,1/16/2004,15171.85714,16177.57143
Week 2,1/23/2004,15183.71429,16180.14286
Week 3,1/30/2004,15203,16210.28571
Week 4,2/6/2004,15214,16213.28571
Week 1,2/13/2004,15224.57143,16207.28571
Week 2,2/20/2004,15239.14286,16236.42857
Week 3,2/27/2004,15249.42857,16267.42857
Week 4,3/5/2004,15260.85714,16288.42857
Week 1,3/12/2004,15247.57143,16275.71429
Week 2,3/19/2004,15228.85714,16252.42857
Week 3,3/26/2004,15220,16254.71429
Week 4,4/2/2004,15216.71429,16248
Week 1,4/9/2004,15209,16251.14286
Week 2,4/16/2004,15186,16241.57143
Week 3,4/23/2004,15196.85714,16257.57143
Week 4,4/30/2004,15170,16219.85714
Week 1,5/7/2004,15208,16260.42857
Week 2,5/14/2004,15213.57143,16273.57143
Week 3,5/21/2004,15238,16284.71429
Week 4,5/28/2004,15231.85714,16261.71429
Week 1,6/4/2004,15245.85714,16275.71429
Week 2,6/11/2004,15199.14286,16246.71429
Week 3,6/18/2004,15201.28571,16246.57143
Week 4,6/25/2004,15204.85714,16242.42857
Week 1,7/2/2004,15185.57143,16215.85714
Week 2,7/9/2004,15214.71429,16232.42857
Week 3,7/16/2004,15196.14286,16214.14286
Week 4,7/23/2004,15238,16275.28571
Week 1,7/30/2004,15227,16273.57143
Week 2,8/6/2004,15246.57143,16285
Week 3,8/13/2004,15232.85714,16260.28571
Week 4,8/20/2004,15245.71429,16272.28571
Week 1,8/27/2004,15244.85714,16285.71429
Week 2,9/3/2004,15251.85714,16290.57143
Week 3,9/10/2004,15228.14286,16258.42857
Week 4,9/17/2004,15241,16276.42857
Week 1,9/24/2004,15246.71429,16273.42857
Week 2,10/1/2004,15240.42857,16261.42857
Week 3,10/8/2004,15185.42857,16204.71429
Week 4,10/15/2004,15233.57143,16244.85714
Week 1,10/22/2004,15263.14286,16255.14286
Week 2,10/29/2004,15464.57143,16033.85714
Week 3,11/5/2004,15739.71429,15750.57143
Week 4,11/12/2004,15526.71429,15949
Week 1,11/19/2004,15689.85714,15836.28571
Week 2,11/26/2004,15561.85714,15974.57143
Week 3,12/3/2004,15774.28571,15784.28571
Week 4,12/10/2004,15766.57143,15776.57143
Week 1,12/17/2004,15769.71429,15779.71429
Week 2,12/24/2004,15773.85714,15783.85714
Week 3,12/31/2004,15571.71429,15973.85714
Week 4,1/7/2005,15778.14286,15788.14286
Week 1,1/14/2005,15767.85714,15777.85714
Week 2,1/21/2005,15678.42857,15873.28571
Week 3,1/28/2005,15696.57143,15891.42857
Week 4,2/4/2005,15617.28571,16000.14286
Week 1,2/11/2005,15513.71429,16084
Week 2,2/18/2005,15787.42857,15798.85714
Week 3,2/25/2005,15795.42857,15805.42857
Week 4,3/4/2005,15191.85714,16292.28571
Week 1,3/11/2005,15166.57143,16434.57143
Week 2,3/18/2005,15721.42857,15911.42857
Week 3,3/25/2005,15822.28571,15838.71429
Week 4,4/1/2005,15656.42857,16047.57143
Week 1,4/8/2005,15609.42857,16001.42857
Week 2,4/15/2005,15824.28571,15844.28571
Week 3,4/22/2005,15823.85714,15846.71429
Week 4,4/29/2005,15828.57143,15848.57143
Week 1,5/6/2005,15701.14286,16094.42857
Week 2,5/13/2005,15449.14286,16223.14286
Week 3,5/20/2005,15671.28571,16072.71429
Week 4,5/27/2005,15749.57143,15959.85714
Week 1,6/3/2005,15676.85714,16088.57143
Week 2,6/10/2005,15863.71429,15885.14286
Week 3,6/17/2005,15637.57143,16047.71429
Week 4,6/24/2005,15549.85714,16165.71429
Week 1,7/1/2005,15745,15967.57143
Week 2,7/8/2005,15858.57143,15881.42857
Week 3,7/15/2005,15691,16111.28571
Week 4,7/22/2005,15597.57143,16209.57143
Week 1,7/29/2005,15456.14286,16264.85714
Week 2,8/5/2005,15870.85714,15881.85714
Week 3,8/12/2005,15864.28571,15871.57143
Week 4,8/19/2005,15862.42857,15868.14286
Week 1,8/26/2005,15875.57143,15881.71429
Week 2,9/2/2005,15875.71429,15882.71429
Week 3,9/9/2005,15879.71429,15889.85714
Week 4,9/16/2005,15780.14286,15986.42857
Week 1,9/23/2005,15876.14286,15886.85714
Week 2,9/30/2005,15894.14286,15902.28571
Week 3,10/7/2005,15894.14286,15900
Week 4,10/14/2005,15903.42857,15909.71429
Week 1,10/21/2005,15905.71429,15910.42857
Week 2,10/28/2005,15898.12857,15904.91429
Week 3,11/4/2005,15891.42857,15896.42857
Week 4,11/11/2005,15899.85714,15904
Week 1,11/18/2005,15902.57143,15908.71429
Week 2,11/25/2005,15879.3,15937.65714
Week 3,12/2/2005,15901.95714,15904.98571
Week 4,12/9/2005,15689.44286,16103.84286
Week 1,12/16/2005,15779.1,16035.37143
Week 2,12/23/2005,15902.85714,15906
Week 3,12/30/2005,15894.27143,15915.24286
Week 4,1/6/2006,15909.81429,15918.14286
Week 1,1/13/2006,15683.12857,16090.45714
Week 2,1/20/2006,15696.3,16101.27143
Week 3,1/27/2006,15732.24286,16139.81429
Week 4,2/3/2006,15753.58571,16131.94286
Week 1,2/10/2006,15742.5,16152.22857
Week 2,2/17/2006,15694.58571,16105.3
Week 3,2/24/2006,15715.02857,16126.38571
Week 4,3/3/2006,15697.84286,16106.01429
Week 1,3/10/2006,15808.77143,16017.05714
Week 2,3/17/2006,15667.92857,16144.51429
Week 3,3/24/2006,15501.58571,16292.94286
Week 4,3/31/2006,15489,16354.51429
Week 1,4/7/2006,15527.45714,16319.38571
Week 2,4/14/2006,15317.25714,16557.28571
Week 3,4/21/2006,15363.84286,16471.4
Week 4,4/28/2006,15401.74286,16389.97143
Week 1,5/5/2006,15605.28571,16332.37143
Week 2,5/12/2006,15462.68571,16480.52857
Week 3,5/19/2006,15459,16484
Week 4,5/26/2006,15499.62857,16517.47143
Week 1,6/2/2006,15448.5,16392.25714
Week 2,6/9/2006,15503.6,16484.27143
Week 3,6/16/2006,15411.9,16577.3
Week 4,6/23/2006,15318.67143,16671.95714
Week 1,6/30/2006,15308.1,16645.25714
Week 2,7/7/2006,15309.74286,16640.81429
Week 3,7/14/2006,15392.34286,16636.54286
Week 4,7/21/2006,15392.77143,16611.62857
Week 1,7/28/2006,15437.58571,16479.18571
Week 2,8/4/2006,15466.41429,16497.34286
Week 3,8/11/2006,15481.8,16545.81429
Week 4,8/18/2006,15470.64286,16563.9
Week 1,8/25/2006,15528.8,16509.41429
Week 2,9/1/2006,15436.98571,16593.22857
Week 3,9/8/2006,15556.3,16543.2
Week 4,9/15/2006,15617.58571,16476.91429
Week 1,9/22/2006,15548.5,16557.47143
Week 2,9/29/2006,15518.44286,16563.58571
Week 3,10/6/2006,15481.2,16684.47143
Week 4,10/13/2006,15513.77143,16645.51429
Week 1,10/20/2006,15528.67143,16610.38571
Week 2,10/27/2006,15490.38571,16613.54286
Week 3,11/3/2006,15511.92857,16657.22857
Week 4,11/10/2006,15687.47143,16505.35714
Week 1,11/17/2006,15531,16606.77143
Week 2,11/24/2006,15573.87143,16599.1
Week 3,12/1/2006,15474.47143,16600.35714
Week 4,12/8/2006,15573.34286,16608.5
Week 1,12/15/2006,15646.41429,16506.15714
Week 2,12/22/2006,15559.72857,16638.65714
Week 3,12/29/2006,15511.21429,16585.31429
Week 4,1/5/2007,15702.55714,16401.9
Week 1,1/12/2007,15458.71429,16624.15714
Week 2,1/19/2007,15573.44286,16555.1
Week 3,1/26/2007,15600.34286,16513.94286
Week 4,2/2/2007,15502.82857,16588.21429
Week 1,2/9/2007,15487.72857,16477.78571
Week 2,2/16/2007,15430.61429,16529.18571
Week 3,2/23/2007,15466.68571,16465.27143
Week 4,3/2/2007,15581.91429,16452.34286
Week 1,3/9/2007,15503.27143,16531.68571
Week 2,3/16/2007,15506.35714,16528.11429
Week 3,3/23/2007,15620.64286,16419.92857
Week 4,3/30/2007,15528.14286,16521.98571
Week 1,4/6/2007,15456.11429,16544.3
Week 2,4/13/2007,15573.31429,16513.02857
Week 3,4/20/2007,15558.52857,16527.45714
Week 4,4/27/2007,15627.82857,16486.5
Week 1,5/4/2007,15572.67143,16517.45714
Week 2,5/11/2007,15525.97143,16533.62857
Week 3,5/18/2007,15474.94286,16634.75714
Week 4,5/25/2007,15835.82857,16298.84286
Week 1,6/1/2007,15840.32857,16371.21429
Week 2,6/8/2007,15842.44286,16353.85714
Week 3,6/15/2007,15816.78571,16354.37143
Week 4,6/22/2007,15873.87143,16368.65714
Week 1,6/29/2007,15900.61429,16356.9
Week 2,7/6/2007,15880.84286,16374.07143
Week 3,7/13/2007,15884.08571,16372.95714
Week 4,7/20/2007,15908.77143,16328.98571
Week 1,7/27/2007,15866.7,16424.08571
Week 2,8/3/2007,15840.77143,16386.81429
Week 3,8/10/2007,15972.3,16402.15714
Week 4,8/17/2007,15990.51429,16469.25714
Week 1,8/24/2007,15967.54286,16483.98571
Week 2,8/31/2007,15979.34286,16518.32857
Week 3,9/7/2007,15984.1,16437.35714
Week 4,9/14/2007,16014.61429,16506.57143
Week 1,9/21/2007,15909.67143,16378.32857
Week 2,9/28/2007,15813.42857,16308.54286
Week 3,10/5/2007,15884.51429,16269.22857
Week 4,10/12/2007,15829.21429,16342.04286
Week 1,10/19/2007,15841.75714,16313.64286
Week 2,10/26/2007,15850.91429,16307.72857
Week 3,11/2/2007,15810.88571,16317.71429
Week 4,11/9/2007,15829.51429,16314.4
Week 1,11/16/2007,15781.41429,16305.08571
Week 2,11/23/2007,15796.47143,16308.08571
Week 3,11/30/2007,15796.08571,16323.42857
Week 4,12/7/2007,15779.44286,16306.6
Week 1,12/14/2007,15824.4,16312.5
Week 2,12/21/2007,15842.38571,16229.42857
Week 3,12/28/2007,15770.62857,16289.54286
Week 4,1/4/2008,15736.48571,16216.34286
Week 1,1/11/2008,15750.12857,16219.01429
Week 2,1/18/2008,15752.42857,16243.01429
Week 3,1/25/2008,15773.1,16211.95714
Week 4,2/1/2008,15763.35714,16227.64286
Week 1,2/8/2008,15681.88571,16216.2
Week 2,2/15/2008,15768.41429,16157.14286
Week 3,2/22/2008,15699.48571,16169.84286
Week 4,2/29/2008,15664.72857,16181.78571
Week 1,3/7/2008,15707.72857,16145.34286
Week 2,3/14/2008,15606.24286,16084.14286
Week 3,3/21/2008,15558.5,15994.68571
Week 4,3/28/2008,15900.18571,16340.32857
Week 1,4/4/2008,15905.35714,16324.17143
Week 2,4/11/2008,15936.61429,16351.37143
Week 3,4/18/2008,15920.9,16364.97143
Week 4,4/25/2008,15883.1,16298.77143
Week 1,5/2/2008,15921.91429,16268.31429
Week 2,5/9/2008,15910.45714,16345.18571
Week 3,5/16/2008,15888,16372.9
Week 4,5/23/2008,15935.77143,16396.91429
Week 1,5/30/2008,15983.65714,16478.24286
Week 2,6/6/2008,16008.01429,16511
Week 3,6/13/2008,16300.11429,16844.4
Week 4,6/20/2008,16322.5,16872.28571
Week 1,6/27/2008,16474.85714,17067.54286
Week 2,7/4/2008,16567.74286,17151.1
Week 3,7/11/2008,16544.87143,17082.74286
Week 4,7/18/2008,16497.58571,17051.4
Week 1,7/25/2008,16511.5,17130.38571
Week 2,8/1/2008,16459.77143,17088.57143
Week 3,8/8/2008,16347.44286,16908.1
Week 4,8/15/2008,16336.54286,16918.52857
Week 1,8/22/2008,16322.32857,16882.27143
Week 2,8/29/2008,16266.65714,16871.34286
Week 3,9/5/2008,16280.85714,16880.4
Week 4,9/12/2008,16292.45714,16858.84286
Week 1,9/19/2008,16305.58571,16857.01429
Week 2,9/26/2008,16327.5,16880.72857
Week 3,10/3/2008,16370.12857,16952.02857
Week 4,10/10/2008,16333.04286,16921.17143
Week 1,10/17/2008,16368.17143,16967.44286
Week 2,10/24/2008,16494.75714,17126.75714
Week 3,10/31/2008,16554.3,17154.51429
Week 4,11/7/2008,16651.6,17264.97143
Week 1,11/14/2008,16680.3,17279.55714
Week 2,11/21/2008,16702.1,17303.07143
Week 3,11/28/2008,16727.91429,17334.74286
Week 4,12/5/2008,16646.42857,17276.92857
Week 1,12/12/2008,16661.35714,17289.22857
Week 2,12/19/2008,16731.85714,17339.51429
Week 3,12/26/2008,16886.22857,17488.24286
Week 4,1/2/2009,17150.41429,17786.17143
Week 1,1/9/2009,17196.27143,17795.28571
Week 2,1/16/2009,17130.48571,17780.42857
Week 3,1/23/2009,17075.72857,17713.97143
Week 4,1/30/2009,17151.54286,17794.57143
Week 1,2/6/2009,17075.58571,17712.11429
Week 2,2/13/2009,17095.62857,17719.3
Week 3,2/20/2009,17016.52857,17624.64286
Week 4,2/27/2009,17067.84286,17662.45714
Week 1,3/6/2009,17086.7,17696.58571
Week 2,3/13/2009,17028.98571,17637.01429
Week 3,3/20/2009,17109.4,17710.35714
Week 4,3/27/2009,17416.28571,18015.45714
Week 1,4/3/2009,17389,17986.5
Week 2,4/10/2009,17531.57143,18137.54286
Week 3,4/17/2009,17415.61429,18027.51429
Week 4,4/24/2009,17425.51429,18030.91429
Week 1,5/1/2009,17485.37143,18087.85714
Week 2,5/8/2009,17374.55714,17956.21429
Week 3,5/15/2009,17393.52857,17968.27143
Week 4,5/22/2009,17341.98571,17898.41429
Week 1,5/29/2009,17303.68571,17851.94286
Week 2,6/5/2009,17368.6,17917.41429
Week 3,6/12/2009,17258.87143,17809.64286
Week 4,6/19/2009,17316.72857,17873.67143
Week 1,6/26/2009,17405.31429,17963.25714
Week 2,7/3/2009,17511.9,18083.92857
Week 3,7/10/2009,17544.25714,18036.75714
Week 4,7/17/2009,17392.62857,17946.05714
Week 1,7/24/2009,17342.97143,17886.58571
Week 2,7/31/2009,17560.07143,17876.27143
Week 3,8/7/2009,17411.42857,17876.34286
Week 4,8/14/2009,17423.65714,17865.62857
Week 1,8/21/2009,17594.12857,18077.52857
Week 2,8/28/2009,17597.45714,18102.78571
Week 3,9/4/2009,17600.67143,18095.7
Week 4,9/11/2009,17671.97143,18078.15714
Week 1,9/18/2009,17647.22857,18114.64286
Week 2,9/25/2009,17611.47143,18105.18571
Week 3,10/2/2009,17565.71429,18090.94286
Week 4,10/9/2009,17605.45714,18118.71429
Week 1,10/16/2009,17686.97143,18076.2
Week 2,10/23/2009,17762.91429,18034.74286
Week 3,10/30/2009,17738.8,18053.52857
Week 4,11/6/2009,17732.61429,18021.98571
Week 1,11/13/2009,17753.35714,18025.84286
Week 2,11/20/2009,17833.24286,18212.31429
Week 3,11/27/2009,18119.32857,18589.84286
Week 4,12/4/2009,18377.92857,18828.15714
Week 1,12/11/2009,18253.54286,18688.95714
Week 2,12/18/2009,18265.54286,18684.94286
Week 3,12/25/2009,18305.95714,18650.98571
Week 4,1/1/2010,18328.85714,18636.61429
Week 1,1/8/2010,18231.95714,18709.07143
Week 2,1/15/2010,18197.11429,18754.4
Week 3,1/22/2010,18219.82857,18707.3
Week 4,1/29/2010,18283.24286,18725.01429
Week 1,2/5/2010,18348.48571,18628.58571
Week 2,2/12/2010,18528.92857,18808.45714
Week 3,2/19/2010,18574.7,19089.34286
Week 4,2/26/2010,18747.61429,19188.15714
Week 1,3/5/2010,18877.98571,19301.37143
Week 2,3/12/2010,18847.58571,19189.65714
Week 3,3/19/2010,18782.85714,19168.24286
Week 4,3/26/2010,18857.21429,19307.45714
Week 1,4/2/2010,18844.72857,19296.58571
Week 2,4/9/2010,18855.68571,19207.5
Week 3,4/16/2010,18744.2,19229.58571
Week 4,4/23/2010,18751.32857,19199.41429
Week 1,4/30/2010,18738.05714,19236.84286
Week 2,5/7/2010,18770.98571,19306.04286
Week 3,5/14/2010,18778.37143,19256.48571
Week 4,5/21/2010,18710.01429,19204.32857
Week 1,5/28/2010,18750.65714,19209.31429
Week 2,6/4/2010,18787.4,19360.74286
Week 3,6/11/2010,18761.95714,19219.82857
Week 4,6/18/2010,18758.91429,19215.17143
Week 1,6/25/2010,18757.78571,19216.42857
Week 2,7/2/2010,18784.95714,19299.8
Week 3,7/9/2010,18783.4,19406.97143
Week 4,7/16/2010,18964.21429,19234.91429
Week 1,7/23/2010,18928.61429,19302.38571
Week 2,7/30/2010,18882.08571,19269.8
Week 3,8/6/2010,18854.35714,19245.52857
Week 4,8/13/2010,18906.42857,19384.6
Week 1,8/20/2010,19207.24286,19769.22857
Week 2,8/27/2010,19208.38571,19719.02857
Week 3,9/3/2010,19273.44286,19674.4
Week 4,9/10/2010,19304.75714,19675.47143
Week 1,9/17/2010,19297.21429,19730.78571
Week 2,9/24/2010,19271.22857,19676.55714
Week 3,10/1/2010,19274.31429,19691.82857
Week 4,10/8/2010,19331.62857,19652.38571
Week 1,10/15/2010,19259.45714,19742.01429
Week 2,10/22/2010,19252.8,19640.78571
Week 3,10/29/2010,19311.08571,19668.04286
Week 4,11/5/2010,19375.74286,19606.8
Week 1,11/12/2010,19310.92857,19687.37143
Week 2,11/19/2010,19409.15714,19596.25714
Week 3,11/26/2010,19375.85714,19633.77143
Week 4,12/3/2010,19343.18571,19609.81429
Week 1,12/10/2010,19365.14286,19624.2
Week 2,12/17/2010,19365.98571,19729.84286
Week 3,12/24/2010,19360,19635.35714
Week 4,12/31/2010,19384.41429,19664.72857
Week 1,1/7/2011,19352.8,19658.64286
Week 2,1/14/2011,19379.52857,19641.41429
Week 3,1/21/2011,19304.65714,19644.6
Week 4,1/28/2011,19370.77143,19676.04286
Week 1,2/4/2011,19341.75714,19695.67143
Week 2,2/11/2011,19869.94286,20171.15714
Week 3,2/18/2011,20343.04286,20621.07143
Week 4,2/25/2011,20207.24286,20459.2
Week 1,3/4/2011,20199.41429,20410.5
Week 2,3/11/2011,20696.21429,20967.58571
Week 3,3/18/2011,20728.34286,20989.54286
Week 4,3/25/2011,20724.94286,21117.57143
Week 1,4/1/2011,20752.7,21028.97143
Week 2,4/8/2011,20690.57143,21015.08571
Week 3,4/15/2011,20788.82857,21043.27143
Week 4,4/22/2011,20754.72857,20944.61429
Week 1,4/29/2011,20435.15714,20820.77143
Week 2,5/6/2011,20456.1,20809.61429
Week 3,5/13/2011,20469.28571,20858.72857
Week 4,5/20/2011,20537.48571,20986.14286
Week 1,5/27/2011,20363.28571,20758.34286
Week 2,6/3/2011,20400.65714,20703
Week 3,6/10/2011,20396.54286,20817.81429
Week 4,6/17/2011,20462.71429,20876.28571
Week 1,6/24/2011,20483.22857,20671.2
Week 2,7/1/2011,20400.44286,20743.68571
Week 3,7/8/2011,20458.4,20743.62857
Week 4,7/15/2011,20419.87143,20742.85714
Week 1,7/22/2011,20458.92857,20714.32857
Week 2,7/29/2011,20335.31429,20732.81429
Week 3,8/5/2011,20394.14286,20909.91429
Week 4,8/12/2011,20514.02857,21045.85714
Week 1,8/19/2011,20586.75714,20967.25714
Week 2,8/26/2011,20672.2,20962.41429
Week 3,9/2/2011,20671.48571,21036.31429
Week 4,9/9/2011,20720.7,21025.04286
Week 1,9/16/2011,20722.17143,20957.54286
Week 2,9/23/2011,20633.2,21029.71429
Week 3,9/30/2011,20691.34286,20954.58571
Week 4,10/7/2011,20717.04286,20949.51429
Week 1,10/14/2011,20723.6,21012.37143
Week 2,10/21/2011,20735.82857,21085.3
Week 3,10/28/2011,20821.37143,21158.05714
Week 4,11/4/2011,20837.81429,21246.81429
Week 1,11/11/2011,20800.8,21163.82857
Week 2,11/18/2011,20790.42857,21310.88571
Week 3,11/25/2011,20790.84286,21242.94286
Week 4,12/2/2011,20876.57143,21229.15714
Week 1,12/9/2011,20857.44286,21243.81429
Week 2,12/16/2011,20886.4,21144.82857
Week 3,12/23/2011,20885.48571,21179.52857
Week 4,12/30/2011,20828.95714,21217.5
Week 1,1/6/2012,20691.74286,21088.6
Week 2,1/13/2012,20898.28571,21227.75714
Week 3,1/20/2012,20774.04286,21085.41429
Week 4,1/27/2012,20821.35714,21092.6
