week,date,ask,bid
Week 3,20-Jul-01,14911.28571,14965.28571
Week 4,27-Jul-01,14935.28571,14989.28571
Week 1,3-Aug-01,14955.85714,15009.85714
Week 2,10-Aug-01,14975.28571,15029.28571
Week 3,17-Aug-01,14985.71429,15039.85714
Week 4,24-Aug-01,14984.42857,15038.42857
Week 1,31-Aug-01,14992,15046
Week 2,7-Sep-01,14999.85714,15052.71429
Week 3,14-Sep-01,14902.28571,15103.71429
Week 4,21-Sep-01,14309.42857,15677.14286
Week 1,28-Sep-01,14315.42857,15690.71429
Week 2,5-Oct-01,14334.71429,15708.28571
Week 3,12-Oct-01,14330.85714,15722.71429
Week 4,19-Oct-01,14332,15736
Week 1,26-Oct-01,14341.85714,15746.71429
Week 2,2-Nov-01,14341.85714,15735.14286
Week 3,9-Nov-01,14383.14286,15800.14286
Week 4,16-Nov-01,14440.14286,15662.85714
Week 1,23-Nov-01,14341.14286,15773.28571
Week 2,30-Nov-01,14363.57143,15778.57143
Week 3,7-Dec-01,14369.28571,15784.57143
Week 4,14-Dec-01,14380,15778.14286
Week 1,21-Dec-01,14361.71429,15770.14286
Week 2,28-Dec-01,14351.71429,15773.28571
Week 3,4-Jan-02,14380.14286,15788.14286
Week 4,11-Jan-02,14388.85714,15803.42857
Week 1,18-Jan-02,14391.42857,15819
Week 2,25-Jan-02,14387.71429,15843.71429
Week 3,1-Feb-02,14385.85714,15844
Week 4,8-Feb-02,14404.14286,15852
Week 1,15-Feb-02,14395.14286,15841.71429
Week 2,22-Feb-02,14407.57143,15855.71429
Week 3,1-Mar-02,14412.57143,15865.14286
Week 4,8-Mar-02,14432.14286,15869.71429
Week 1,15-Mar-02,14449.14286,15877.85714
Week 2,22-Mar-02,14462.85714,15897.42857
Week 3,29-Mar-02,14467.42857,15909
Week 4,5-Apr-02,14491.14286,15925.42857
Week 1,12-Apr-02,14502.57143,15933.85714
Week 2,19-Apr-02,14505.42857,15921.71429
Week 3,26-Apr-02,14519.57143,15920.57143
Week 4,3-May-02,14532.28571,15918.85714
Week 1,10-May-02,14549.14286,15933.14286
Week 2,17-May-02,14551.85714,15926.57143
Week 3,24-May-02,14571.14286,15938.42857
Week 4,31-May-02,14581.71429,15924.71429
Week 1,7-Jun-02,14596,15931.28571
Week 2,14-Jun-02,14598.14286,15927.42857
Week 3,21-Jun-02,14618.28571,15916.28571
Week 4,28-Jun-02,14648.57143,15921.42857
Week 1,5-Jul-02,14641.28571,15926.28571
Week 2,12-Jul-02,14665,15931.42857
Week 3,19-Jul-02,14675.28571,15928
Week 4,26-Jul-02,14667.42857,15944.71429
Week 1,2-Aug-02,14680.71429,15962.28571
Week 2,9-Aug-02,14677.42857,15970.28571
Week 3,16-Aug-02,14681.85714,15968.42857
Week 4,23-Aug-02,14679,15973.42857
Week 1,30-Aug-02,14706.57143,15984.71429
Week 2,6-Sep-02,14693,15969.85714
Week 3,13-Sep-02,14692,15984.28571
Week 4,20-Sep-02,14702.85714,15989
Week 1,27-Sep-02,14699.28571,15983.14286
Week 2,4-Oct-02,14702.57143,15982.28571
Week 3,11-Oct-02,14719.28571,15997.42857
Week 4,18-Oct-02,14705.57143,15998.85714
Week 1,25-Oct-02,14727.57143,16016
Week 2,1-Nov-02,14732.42857,15999.57143
Week 3,8-Nov-02,14744.71429,15992.14286
Week 4,15-Nov-02,14750.14286,16003.57143
Week 1,22-Nov-02,14753.42857,16016.28571
Week 2,29-Nov-02,14753.14286,16021.28571
Week 3,6-Dec-02,14767.28571,16021.57143
Week 4,13-Dec-02,14776.57143,16007.71429
Week 1,20-Dec-02,14780.71429,16006.71429
Week 2,27-Dec-02,14781.28571,15994.14286
Week 3,3-Jan-03,14792,16001.57143
Week 4,10-Jan-03,14816.28571,16013
Week 1,17-Jan-03,14831.14286,16015
Week 2,24-Jan-03,14847.14286,16013.28571
Week 3,31-Jan-03,14847.57143,16013
Week 4,7-Feb-03,14847.42857,16017.28571
Week 1,14-Feb-03,14847.57143,16018.85714
Week 2,21-Feb-03,14849.71429,16015.85714
Week 3,28-Feb-03,14850.42857,16011.85714
Week 4,7-Mar-03,14861.42857,16005
Week 1,14-Mar-03,14855.14286,16029.14286
Week 2,21-Mar-03,14857.71429,16044.85714
Week 3,28-Mar-03,14872,16040
Week 4,4-Apr-03,14864,16040.28571
Week 1,11-Apr-03,14873.71429,16045
Week 2,18-Apr-03,14885.14286,16038.71429
Week 3,25-Apr-03,14901.28571,16045.85714
Week 4,2-May-03,14911.71429,16032.28571
Week 1,9-May-03,14928,16026
Week 2,16-May-03,14924.28571,16016
Week 3,23-May-03,14932.85714,16001.28571
Week 4,30-May-03,14942.71429,16014.14286
Week 1,6-Jun-03,14940.28571,16010
Week 2,13-Jun-03,14950.14286,16019.71429
Week 3,20-Jun-03,14948.42857,16033.57143
Week 4,27-Jun-03,14945.57143,16044.71429
Week 1,4-Jul-03,14949.14286,16053.71429
Week 2,11-Jul-03,14947.28571,16062.57143
Week 3,18-Jul-03,14952.71429,16071
Week 4,25-Jul-03,14964.71429,16063
Week 1,1-Aug-03,14958.57143,16077.28571
Week 2,8-Aug-03,14960.85714,16074.28571
Week 3,15-Aug-03,14956.28571,16080.71429
Week 4,22-Aug-03,14931.42857,16086.85714
Week 1,29-Aug-03,14940.71429,16098.71429
Week 2,5-Sep-03,14955.85714,16101.14286
Week 3,12-Sep-03,14967.14286,16092.42857
Week 4,19-Sep-03,14990.85714,16099.57143
Week 1,26-Sep-03,15003.42857,16096.57143
Week 2,3-Oct-03,15020.57143,16097.71429
Week 3,10-Oct-03,15033.28571,16106.28571
Week 4,17-Oct-03,15009,16092.85714
Week 1,24-Oct-03,15054.28571,16126.57143
Week 2,31-Oct-03,15096.14286,16183.28571
Week 3,7-Nov-03,15088.28571,16185.85714
Week 4,14-Nov-03,15104.28571,16173.14286
Week 1,21-Nov-03,15104,16166.85714
Week 2,28-Nov-03,15096.28571,16146.28571
Week 3,5-Dec-03,15094.42857,16132.57143
Week 4,12-Dec-03,15127.28571,16155.85714
Week 1,19-Dec-03,15147.14286,16162
Week 2,26-Dec-03,15150.85714,16163.71429
Week 3,2-Jan-04,15065.57143,16061.42857
Week 4,9-Jan-04,15162.85714,16152.71429
Week 1,16-Jan-04,15171.85714,16177.57143
Week 2,23-Jan-04,15183.71429,16180.14286
Week 3,30-Jan-04,15203,16210.28571
Week 4,6-Feb-04,15214,16213.28571
Week 1,13-Feb-04,15224.57143,16207.28571
Week 2,20-Feb-04,15239.14286,16236.42857
Week 3,27-Feb-04,15249.42857,16267.42857
Week 4,5-Mar-04,15260.85714,16288.42857
Week 1,12-Mar-04,15247.57143,16275.71429
Week 2,19-Mar-04,15228.85714,16252.42857
Week 3,26-Mar-04,15220,16254.71429
Week 4,2-Apr-04,15216.71429,16248
Week 1,9-Apr-04,15209,16251.14286
Week 2,16-Apr-04,15186,16241.57143
Week 3,23-Apr-04,15196.85714,16257.57143
Week 4,30-Apr-04,15170,16219.85714
Week 1,7-May-04,15208,16260.42857
Week 2,14-May-04,15213.57143,16273.57143
Week 3,21-May-04,15238,16284.71429
Week 4,28-May-04,15231.85714,16261.71429
Week 1,4-Jun-04,15245.85714,16275.71429
Week 2,11-Jun-04,15199.14286,16246.71429
Week 3,18-Jun-04,15201.28571,16246.57143
Week 4,25-Jun-04,15204.85714,16242.42857
Week 1,2-Jul-04,15185.57143,16215.85714
Week 2,9-Jul-04,15214.71429,16232.42857
Week 3,16-Jul-04,15196.14286,16214.14286
Week 4,23-Jul-04,15238,16275.28571
Week 1,30-Jul-04,15227,16273.57143
Week 2,6-Aug-04,15246.57143,16285
Week 3,13-Aug-04,15232.85714,16260.28571
Week 4,20-Aug-04,15245.71429,16272.28571
Week 1,27-Aug-04,15244.85714,16285.71429
Week 2,3-Sep-04,15251.85714,16290.57143
Week 3,10-Sep-04,15228.14286,16258.42857
Week 4,17-Sep-04,15241,16276.42857
Week 1,24-Sep-04,15246.71429,16273.42857
Week 2,1-Oct-04,15240.42857,16261.42857
Week 3,8-Oct-04,15185.42857,16204.71429
Week 4,15-Oct-04,15233.57143,16244.85714
Week 1,22-Oct-04,15263.14286,16255.14286
Week 2,29-Oct-04,15464.57143,16033.85714
Week 3,5-Nov-04,15739.71429,15750.57143
Week 4,12-Nov-04,15526.71429,15949
Week 1,19-Nov-04,15689.85714,15836.28571
Week 2,26-Nov-04,15561.85714,15974.57143
Week 3,3-Dec-04,15774.28571,15784.28571
Week 4,10-Dec-04,15766.57143,15776.57143
Week 1,17-Dec-04,15769.71429,15779.71429
Week 2,24-Dec-04,15773.85714,15783.85714
Week 3,31-Dec-04,15571.71429,15973.85714
Week 4,7-Jan-05,15778.14286,15788.14286
Week 1,14-Jan-05,15767.85714,15777.85714
