week,date,ask,bid
Week 2,21Mar2003,14857.71429,16044.85714
Week 3,28Mar2003,14872.00000,16040.00000
Week 4,04Apr2003,14864.00000,16040.28571
Week 1,11Apr2003,14873.71429,16045.00000
Week 2,18Apr2003,14885.14286,16038.71429
Week 3,25Apr2003,14901.28571,16045.85714
Week 4,02May2003,14911.71429,16032.28571
Week 1,09May2003,14928.00000,16026.00000
Week 2,16May2003,14924.28571,16016.00000
Week 3,23May2003,14932.85714,16001.28571
Week 4,30May2003,14942.71429,16014.14286
Week 1,06Jun2003,14940.28571,16010.00000
Week 2,13Jun2003,14950.14286,16019.71429
Week 3,20Jun2003,14948.42857,16033.57143
Week 4,27Jun2003,14945.57143,16044.71429
Week 1,04Jul2003,14949.14286,16053.71429
Week 2,11Jul2003,14947.28571,16062.57143
Week 3,18Jul2003,14952.71429,16071.00000
Week 4,25Jul2003,14964.71429,16063.00000
Week 1,01Aug2003,14958.57143,16077.28571
Week 2,08Aug2003,14960.85714,16074.28571
Week 3,15Aug2003,14956.28571,16080.71429
Week 4,22Aug2003,14931.42857,16086.85714
Week 1,29Aug2003,14940.71429,16098.71429
Week 2,05Sep2003,14955.85714,16101.14286
Week 3,12Sep2003,14967.14286,16092.42857
Week 4,19Sep2003,14990.85714,16099.57143
Week 1,26Sep2003,15003.42857,16096.57143
Week 2,03Oct2003,15020.57143,16097.71429
Week 3,10Oct2003,15033.28571,16106.28571
Week 4,17Oct2003,15009.00000,16092.85714
Week 1,24Oct2003,15054.28571,16126.57143
Week 2,31Oct2003,15096.14286,16183.28571
Week 3,07Nov2003,15088.28571,16185.85714
Week 4,14Nov2003,15104.28571,16173.14286
Week 1,21Nov2003,15104.00000,16166.85714
Week 2,28Nov2003,15096.28571,16146.28571
Week 3,05Dec2003,15094.42857,16132.57143
Week 4,12Dec2003,15127.28571,16155.85714
Week 1,19Dec2003,15147.14286,16162.00000
Week 2,26Dec2003,15150.85714,16163.71429
Week 3,02Jan2004,15065.57143,16061.42857
Week 4,09Jan2004,15162.85714,16152.71429
Week 1,16Jan2004,15171.85714,16177.57143
Week 2,23Jan2004,15183.71429,16180.14286
Week 3,30Jan2004,15203.00000,16210.28571
Week 4,06Feb2004,15214.00000,16213.28571
Week 1,13Feb2004,15224.57143,16207.28571
Week 2,20Feb2004,15239.14286,16236.42857
Week 3,27Feb2004,15249.42857,16267.42857
Week 4,05Mar2004,15260.85714,16288.42857
Week 1,12Mar2004,15247.57143,16275.71429
Week 2,19Mar2004,15228.85714,16252.42857
Week 3,26Mar2004,15220.00000,16254.71429
Week 4,02Apr2004,15216.71429,16248.00000
Week 1,09Apr2004,15209.00000,16251.14286
Week 2,16Apr2004,15186.00000,16241.57143
Week 3,23Apr2004,15196.85714,16257.57143
Week 4,30Apr2004,15170.00000,16219.85714
Week 1,07May2004,15208.00000,16260.42857
Week 2,14May2004,15213.57143,16273.57143
Week 3,21May2004,15238.00000,16284.71429
Week 4,28May2004,15231.85714,16261.71429
Week 1,04Jun2004,15245.85714,16275.71429
Week 2,11Jun2004,15199.14286,16246.71429
Week 3,18Jun2004,15201.28571,16246.57143
Week 4,25Jun2004,15204.85714,16242.42857
Week 1,02Jul2004,15185.57143,16215.85714
Week 2,09Jul2004,15214.71429,16232.42857
Week 3,16Jul2004,15196.14286,16214.14286
Week 4,23Jul2004,15238.00000,16275.28571
Week 1,30Jul2004,15227.00000,16273.57143
Week 2,06Aug2004,15246.57143,16285.00000
Week 3,13Aug2004,15232.85714,16260.28571
Week 4,20Aug2004,15245.71429,16272.28571
Week 1,27Aug2004,15244.85714,16285.71429
Week 2,03Sep2004,15251.85714,16290.57143
Week 3,10Sep2004,15228.14286,16258.42857
Week 4,17Sep2004,15241.00000,16276.42857
Week 1,24Sep2004,15246.71429,16273.42857
Week 2,01Oct2004,15240.42857,16261.42857
Week 3,08Oct2004,15185.42857,16204.71429
Week 4,15Oct2004,15233.57143,16244.85714
Week 1,22Oct2004,15263.14286,16255.14286
Week 2,29Oct2004,15464.57143,16033.85714
Week 3,05Nov2004,15739.71429,15750.57143
Week 4,12Nov2004,15526.71429,15949.00000
Week 1,19Nov2004,15689.85714,15836.28571
Week 2,26Nov2004,15561.85714,15974.57143
Week 3,03Dec2004,15774.28571,15784.28571
Week 4,10Dec2004,15766.57143,15776.57143
Week 1,17Dec2004,15769.71429,15779.71429
Week 2,24Dec2004,15773.85714,15783.85714
Week 3,31Dec2004,15571.71429,15973.85714
Week 4,07Jan2005,15778.14286,15788.14286
Week 1,14Jan2005,15767.85714,15777.85714
Week 2,21Jan2005,15678.42857,15873.28571
Week 3,28Jan2005,15696.57143,15891.42857
Week 4,04Feb2005,15617.28571,16000.14286
Week 1,11Feb2005,15513.71429,16084.00000
Week 2,18Feb2005,15787.42857,15798.85714
Week 3,25Feb2005,15795.42857,15805.42857
Week 4,04Mar2005,15191.85714,16292.28571
Week 1,11Mar2005,15166.57143,16434.57143
Week 2,18Mar2005,15721.42857,15911.42857
Week 3,25Mar2005,15822.28571,15838.71429
Week 4,01Apr2005,15656.42857,16047.57143
Week 1,08Apr2005,15609.42857,16001.42857
Week 2,15Apr2005,15824.28571,15844.28571
Week 3,22Apr2005,15823.85714,15846.71429
Week 4,29Apr2005,15828.57143,15848.57143
Week 1,06May2005,15701.14286,16094.42857
Week 2,13May2005,15449.14286,16223.14286
Week 3,20May2005,15671.28571,16072.71429
Week 4,27May2005,15749.57143,15959.85714
Week 1,03Jun2005,15676.85714,16088.57143
Week 2,10Jun2005,15863.71429,15885.14286
Week 3,17Jun2005,15637.57143,16047.71429
